Logging started at 28-02-21 at 16:43:15
Timestamp, Longitude, Latitude, Altitude, Roll, Pitch, Yaw, Velocity, Groundspeed, Airspeed, Current, Voltage
16:43:15.336186, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.337297, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.339178, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.340441, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.342685, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.343896, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.345383, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.346550, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.347980, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.349382, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.351329, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.352491, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.353864, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.355364, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.356869, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.358046, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.359614, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.360787, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.362030, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.363315, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.364827, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.365948, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.367209, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.368617, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.369900, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.371132, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.372234, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.373556, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.376693, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.377946, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.379316, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.381094, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.384563, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.386043, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.387392, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.388673, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.390332, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.391854, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.393217, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.395162, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.396264, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
